all_avg_loss,all_avg_mae,all_val_mae
3.1610803298090166e-05,540.5169677734375
1.646946681941162e-05,397.3175964355469
1.2491971668454333e-05,347.626953125
1.064704121214332e-05,322.8169860839844
9.565125915666642e-06,306.9874267578125
8.901307583904063e-06,296.63189697265625
8.452339298286446e-06,289.4914245605469
8.142685544719646e-06,284.09600830078125
7.931325513377614e-06,281.1871032714844
7.77574564386569e-06,278.868408203125
7.668678998796542e-06,277.2105407714844
7.582759085280111e-06,275.9314880371094
7.522359987214377e-06,275.0774841308594
7.471226554973519e-06,273.8258056640625
7.437741338856961e-06,273.6889953613281
7.411187538100193e-06,272.94012451171875
7.387180848923472e-06,272.44305419921875
7.375833234832576e-06,272.518798828125
7.36275252588275e-06,272.27130126953125
7.353428540212303e-06,272.3635559082031
