all_avg_loss,all_avg_mae,all_val_mae
0.00396749681152869,19.855680465698242,14.281007766723633
0.0017372406629147007,14.028790473937988,14.389673233032227
0.0016823169944109395,13.91330337524414,14.405522346496582
0.0015759624657221138,13.470897674560547,14.448738098144531
0.0015230067545780911,13.344717979431152,14.586435317993164
0.0014365091640502214,12.772553443908691,14.487924575805664
0.0014019781042588875,12.742671966552734,14.539685249328613
0.0013100779661908745,12.1619873046875,14.565980911254883
0.0012572374899173155,11.953751564025879,14.52263355255127
0.0012401572417002171,12.098472595214844,14.464714050292969
0.0012035570410080254,11.57855224609375,14.564501762390137
0.0011581115814624354,11.432991027832031,14.578514099121094
0.0011193459940841421,11.260045051574707,14.599065780639648
0.0011237176152644678,11.247325897216797,14.594070434570312
0.0011063639802159741,11.128983497619629,14.555325508117676
0.0010571903706295415,10.859688758850098,14.57337760925293
0.0010211753222392872,10.789063453674316,14.522207260131836
0.0010390934432507493,11.016258239746094,14.491029739379883
0.001024783580796793,10.656405448913574,14.566537857055664
0.000994323627674021,10.465612411499023,14.551031112670898
